Internship Title,Company Name,Location,Start Date,Duration,Stipend,Apply By,Skills Required,Perks
Website Maintenance,Apex Style,Work from home,Starts immediatelyImmediately,2 Months,"₹ 1,500 - 2,300 /month",18 May' 25,"CSS, Hindi Proficiency (Spoken), HTML, JavaScript, WordPress, Certificate, Letter of recommendation, Flexible work hours",N/A
Internet Research,Apex Style,Work from home,Starts immediatelyImmediately,2 Months,"₹ 1,500 - 2,300 /month",18 May' 25,"Computer skills, Hindi Proficiency (Spoken), Internet, Certificate, Letter of recommendation, Flexible work hours",N/A
Field Sales,Fungateway Arena Pvt Ltd,"Chandigarh, Delhi, Gurgaon, Jodhpur, Ludhiana, Jaipur, Noida, Kanpur",Starts immediatelyImmediately,3 Months,"₹ 6,000 - 15,000 /month",18 May' 25,"English Proficiency (Spoken), Certificate, Letter of recommendation, Job offer",N/A
System development,Apex Style,Work from home,Starts immediatelyImmediately,2 Months,"₹ 1,500 - 2,500 /month",18 May' 25,"Hindi Proficiency (Spoken), Java, Python, Certificate, Letter of recommendation, Flexible work hours",N/A
Machine Learning,S.S. Rana & Company,Delhi,Starts immediatelyImmediately,3 Months,"₹ 4,000 - 5,000 /month",18 May' 25,"Artificial intelligence, Data Analytics, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, R Programming, Certificate, 5 days a week",N/A
Canva Design,Apex Style,Work from home,Starts immediatelyImmediately,2 Months,"₹ 1,400 - 2,000 /month",18 May' 25,"Canva, Hindi Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours",N/A
Customer Acquisition,Rakhee Sujith G,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 6,000 - 10,001 /month",18 May' 25,"Email Marketing, English Proficiency (Spoken), MS-Office, Certificate, Letter of recommendation, Informal dress code, Job offer",N/A
UX/UI Design,Apex Style,Work from home,Starts immediatelyImmediately,2 Months,"₹ 1,400 - 2,000 /month",18 May' 25,"Hindi Proficiency (Spoken), UI & UX Design, Web Design, Certificate, Letter of recommendation, Flexible work hours",N/A
Tech Project Assistant,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,400 - 2,000 /month",18 May' 25,"Hindi Proficiency (Spoken), Java, Python, Technical Analysis, Certificate, Letter of recommendation, Flexible work hours",N/A
Business Development And Operations,Kerala Book Store,Thiruvananthapuram,Starts immediatelyImmediately,3 Months,"₹ 2,000 - 3,000 /month",18 May' 25,"English Proficiency (Spoken), Malayalam Proficiency (Spoken), Malayalam Proficiency (Written), MS-Office, Certificate, Letter of recommendation, Flexible work hours",N/A
Video Editor - AI Tools,Soleil Sante Prabhav (OPC) Private Limited,Work from home,Starts immediatelyImmediately,6 Months,"₹ 5,000 /month",18 May' 25,"Adobe After Effects, AI Image Generation, AI Video Generation, AI Voiceover, Video Editing, Video Making, Certificate, Letter of recommendation, Flexible work hours",N/A
Motion Graphics,Supervaisor.AI,Work from home,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",18 May' 25,"Adobe After Effects, Adobe Animate, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Animation, Figma, Video Editing, Certificate",N/A
Founders Office Operations,Cintas Healthcare Private Limited,Panchkula,20 May - 31 May' 25,6 Months,"₹ 25,000 /month",18 May' 25,"Management, Pharmacology, Pharmacovigilance, Research and Analytics, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Content Writing,Bombay Locale,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 6,000 - 8,000 /month",18 May' 25,"Blogging, Creative Writing, Digital Marketing, English Proficiency (Written), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
ESG & Sustainability,Spoctech Green Ventures Private Limited,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",18 May' 25,"MS-Office, Research and Analytics, Certificate, Letter of recommendation",N/A
Digital Marketing,Educate Girls,Mumbai                                                    (Hybrid),Starts immediatelyImmediately,2 Months,"₹ 5,000 - 15,000 /month",18 May' 25,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency (Written), Instagram Marketing, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Marketing And Sales - International Market,PinePixel Studios (Synesis Consulting),Kolkata                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 3,000 - 5,000 /month",18 May' 25,"Client Relationship, Client Relationship Management (CRM), Email Marketing, Marketing, MS-Office, Sales, Certificate, Letter of recommendation, 5 days a week, Job offer",N/A
Graphic Design,InfinitiTech Solution,Noida,Starts immediatelyImmediately,3 Months,"₹ 2,000 - 15,000 /month",18 May' 25,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Certificate, Letter of recommendation, Informal dress code",N/A
Social Media Marketing,SenaRoy Care Foundation,Work from home,Starts immediatelyImmediately,6 Months,"₹ 2,000 - 3,000 /month",18 May' 25,"Digital Marketing, English Proficiency (Written), Facebook Marketing, Instagram Marketing, Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, 5 days a week, Job offer",N/A
Graphic Design,Flameloop,Indore                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 3,000 - 8,000 /month",18 May' 25,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Flutter Development,TechStax Private Limited,Work from home,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 20,000 /month",18 May' 25,"Android, Dart, Firebase, Flutter, iOS, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
CA Articleship,CA Gajanand Baheti,Delhi,Starts immediatelyImmediately,24 Months,"₹ 8,000 - 10,000 /month",18 May' 25,"MS-Office, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
Digital Marketing,Copper Connections Limited,"Delhi, Noida",Starts immediatelyImmediately,6 Months,"₹ 12,000 /month",18 May' 25,"Digital Marketing, Optimization, Search Engine Optimization (SEO), Web Services",N/A
Business Development (Sales),First Draft,"Delhi, Noida",Starts immediatelyImmediately,6 Months,"₹ 15,000 - 60,000 /month",18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer",N/A
Digital Marketing,Thoughtiv,Hyderabad,Starts immediatelyImmediately,3 Months,"₹ 10,001 - 20,002 /month",18 May' 25,"Email Marketing, English Proficiency (Written), Search Engine Marketing (SEM), Search Engine Optimization (SEO), Certificate, Letter of recommendation",N/A
Recap Script Writing,Feardog Music,Work from home,Starts immediatelyImmediately,1 Month,"₹ 10,000 - 12,000 /month",18 May' 25,"Content Writing, Creative Writing",N/A
Business Development (Sales),Data Solvix,Work from home,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 15,000 /month",18 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
CEO Office,Xponentium India,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 15,000 - 16,000 /month",18 May' 25,"Effective Communication, Interpersonal skills, MS-Excel, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages, Job offer",N/A
Fashion Consultant,Glamanand Entertainment,Delhi                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 12,000 - 15,000 /month",18 May' 25,"Data Analytics, Digital Marketing, Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Fashion Styling, Market Analysis, Marketing, Market research, MS-Excel, MS-PowerPoint, MS-Word, Product Strategy, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
Business Development (Sales),MentorBoxx,Pune,Starts immediatelyImmediately,3 Months,"₹ 15,000 - 20,000 /month",18 May' 25,"Effective Communication, Sales",N/A
Android App Development,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Android, Firebase, Hindi Proficiency (Spoken), Java, Kotlin, XML, Certificate, Letter of recommendation, Flexible work hours",N/A
Digital Marketing,UPIADS,Work from home,Starts immediatelyImmediately,6 Months,"₹ 5,000 - 6,000 /month",18 May' 25,"Digital Advertising, English Proficiency (Written), Internet of Things (IoT), Certificate, Flexible work hours, 5 days a week",N/A
Articulate Storyline 360 Creator,What The Science,Work from home,Starts immediatelyImmediately,3 Months,"₹ 1,100 - 3,500 lump sum",18 May' 25,"Articulate 360, Articulate Storyline",N/A
Graphic Design,Studio Tasa,Work from home,Starts immediatelyImmediately,4 Months,"₹ 5,000 - 10,000 /month",18 May' 25,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, UI & UX Design, Video Editing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Social Media Posting,Filmymantra,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 7,000 /month",18 May' 25,"Content Writing, Digital Marketing, Effective Communication",N/A
Video Editing/Making,8e8creatives,Work from home,Starts immediatelyImmediately,6 Months,"₹ 4,500 - 7,000 /month",18 May' 25,"Adobe After Effects, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making",N/A
Search Engine Optimization (SEO),AdMedia Technologies Private Limited,"Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida",Starts immediatelyImmediately,3 Months,"₹ 6,000 /month",18 May' 25,"Digital Marketing, English Proficiency (Written), Google AdWords, Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Certificate, Informal dress code, 5 days a week",N/A
Podcast Host & Production,Prabhu Chhaya Foundation                                  NGO,Work from home,Starts immediatelyImmediately,6 Months,Unpaid,18 May' 25,"Social Media Marketing, Video Editing, Videography, Video Making, Certificate, Letter of recommendation, Flexible work hours",N/A
Business Development (Sales),Ashyug Infra Pvt Ltd,"Delhi, Noida",Starts immediatelyImmediately,3 Months,"₹ 22,000 - 35,000 /month",18 May' 25,"Client Interaction, Client Relationship, Digital Marketing, Effective Communication, Sales, Sales Strategy, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
WordPress Development,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Hindi Proficiency (Spoken), HTML, WordPress, Certificate, Letter of recommendation, Flexible work hours",N/A
UI/UX Design,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Hindi Proficiency (Spoken), UI & UX Design, Certificate, Letter of recommendation, Flexible work hours",N/A
Sales,D Marketing Pro,Noida,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 25,000 /month",18 May' 25,"Digital Marketing, Effective Communication, MS-Office, Negotiation, Problem Solving, Self-learning, Certificate, Letter of recommendation",N/A
UI Design,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Figma, Hindi Proficiency (Spoken), React, React Native, Certificate, Letter of recommendation, Flexible work hours",N/A
Travel Consultant,AirGennie,Bangalore                                                    (Hybrid),Starts immediatelyImmediately,6 Months,"₹ 20,000 - 35,000 /month",18 May' 25,"Canva, Holiday Package Design, Microsoft Teams, Travel Itinerary Making, Certificate, Letter of recommendation, Flexible work hours",N/A
Administration And Sports Coaching,YOUNG STAR ACADEMY                                  NGO,Delhi,Starts immediatelyImmediately,3 Months,"₹ 7,000 - 10,000 /month",18 May' 25,"Effective Communication, Google Workspace, Interpersonal skills, Sports, Certificate, Letter of recommendation, Flexible work hours",N/A
Debugging,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"C++ Programming, Debugging, Hindi Proficiency (Spoken), Java, JavaScript, Certificate, Letter of recommendation, Flexible work hours",N/A
Data Engineering,Augrade Private Limited,Work from home,Starts immediatelyImmediately,3 Months,"₹ 8,000 - 15,000 /month",18 May' 25,"Data Analysis, Data Annotation, Data Cleaning, Certificate, Flexible work hours",N/A
Social Media Marketing,The Rojgaar,Work from home,Starts immediatelyImmediately,4 Months,"₹ 3,000 - 15,000 /month",18 May' 25,"Adobe Photoshop, Canva, Creative Writing, Digital Marketing, English Proficiency (Written), Facebook Marketing, Figma, LinkedIn Marketing, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Telecalling,Urja Talents,Mumbai,Starts immediatelyImmediately,4 Months,"₹ 8,000 /month",9 Jun' 25,"English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, Certificate, Informal dress code",N/A
Video Editing/Making,Technocrat United,Ghaziabad,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 12,000 /month",18 May' 25,"Adobe After Effects, Adobe Premiere Pro, Capcut, DaVinci Resolve, Final Cut Pro, Video Editing, Certificate, Letter of recommendation, Free snacks & beverages",N/A
Human Resources (HR),Gravity (Gravity Engineering Services Private Limited),Patna,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Word, Onboarding, Recruitment, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Graphic Designer,Intersign Global Private Limited,"Faridabad, South                                                    (Hybrid)",Starts immediatelyImmediately,6 Months,"₹ 8,000 - 12,000 /month",18 May' 25,"Adobe Illustrator, CorelDRAW, Certificate, Letter of recommendation, Flexible work hours, Informal dress code",N/A
UI/UX Design,Meru Technosoft Private Limited,Work from home,Starts immediatelyImmediately,4 Months,"₹ 5,000 - 6,000 /month",18 May' 25,"Figma, UI & UX Design, User Interface (UI) Development, Certificate, Letter of recommendation, Flexible work hours",N/A
Coding,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Hindi Proficiency (Spoken), Java, JavaScript, Python, Certificate, Letter of recommendation, Flexible work hours",N/A
Software Testing,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"C++ Programming, Hindi Proficiency (Spoken), Java, Python, Software Testing, Certificate, Letter of recommendation, Flexible work hours",N/A
Corporate Sales,InovarTech,Hyderabad,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 15,000 /month",18 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Certificate, 5 days a week",N/A
Cloud Computing,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Cloud Computing, DevOps, Hindi Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours",N/A
Database Building/Management,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Firebase, Hindi Proficiency (Spoken), MongoDB, MySQL, Certificate, Letter of recommendation, Flexible work hours",N/A
CA Articleship,J Thakkar & Associates,Delhi,Starts immediatelyImmediately,12 Months,"₹ 3,000 - 8,000 /month",18 May' 25,"Accounting, English Proficiency (Spoken), MS-Office, Problem Solving, Certificate, Letter of recommendation, Flexible work hours",N/A
Backend Development,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Hindi Proficiency (Spoken), Node.js, PHP, Certificate, Letter of recommendation, Flexible work hours",N/A
Frontend development,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"CSS, Hindi Proficiency (Spoken), HTML, Certificate, Letter of recommendation, Flexible work hours",N/A
Information Technology,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Computer Networking, Computer skills, Hindi Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours",N/A
UX/UI Design,URE Legal Advocates,Work from home,Starts immediatelyImmediately,5 Months,"₹ 1,000 /month",18 May' 25,"Artificial intelligence, Artificial Intelligence Markup Language (AIML), Backend development, ChatGPT, Figma, Frontend development, Node.js, React, TensorFlow, ThreeJS, Certificate, Letter of recommendation",N/A
Tech Support,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Computer skills, C Programming, Hindi Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours",N/A
Python,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Hindi Proficiency (Spoken), Python, Certificate, Letter of recommendation, Flexible work hours",N/A
Java,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Hindi Proficiency (Spoken), Java, Certificate, Letter of recommendation, Flexible work hours",N/A
Talent Acquisition,Triumph System And Solutions Private Limited,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 12,001 - 20,000 /month",18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Recruitment, Certificate, Letter of recommendation, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
Human Resources (HR),MastersHelp,Hyderabad,Starts immediatelyImmediately,3 Months,"₹ 2,000 - 5,000 /month",18 May' 25,"Effective Communication, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
JavaScript,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"CSS, Hindi Proficiency (Spoken), HTML, JavaScript, Certificate, Letter of recommendation, Flexible work hours",N/A
Html/css,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"CSS, Hindi Proficiency (Spoken), HTML, Certificate, Letter of recommendation, Flexible work hours",N/A
Web Development,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"CSS, Hindi Proficiency (Spoken), HTML, JavaScript, Certificate, Letter of recommendation, Flexible work hours",N/A
App Development,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Hindi Proficiency (Spoken), Java, Kotlin, XML, Certificate, Letter of recommendation, Flexible work hours",N/A
Programming,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"C++ Programming, Hindi Proficiency (Spoken), Python, Certificate, Letter of recommendation, Flexible work hours",N/A
Software,Apex Style,Work from home,Starts immediatelyImmediately,1 Month,"₹ 1,500 - 2,500 /month",18 May' 25,"Hindi Proficiency (Spoken), Java, Python, Certificate, Letter of recommendation, Flexible work hours",N/A
Shopify Web Development,Digital Heroes,Work from home,Starts immediatelyImmediately,1 Month,"₹ 15,000 /month",18 May' 25,"Shopify, Certificate, Flexible work hours, 5 days a week",N/A
General Management,Tagbag Cornerstone Private Limited,Work from home,Starts immediatelyImmediately,6 Months,"₹ 30,000 - 50,000 /month",18 May' 25,"Adaptability, Artificial intelligence, Coordination, Interpersonal skills, Management, Organizational Development, Problem Solving, Research and Analytics, Self-learning, Letter of recommendation, Flexible work hours",N/A
Video Editing/Making,TrustScore,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 7,000 /month",18 May' 25,"Adobe Photoshop, Capcut, Creative Writing, Final Cut Pro, Video Editing, Video Making, Certificate, Letter of recommendation, Flexible work hours",N/A
Video Editing/Making,Togepe,Work from home,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 6,000 /month",25 May' 25,"Adobe Illustrator, Adobe Premiere Pro, Final Cut Pro, Video Editing, Certificate, Letter of recommendation, Job offer",N/A
E-Commerce Management,LuxuryKase,Delhi,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 20,000 /month",18 May' 25,"Analytical Thinking, Data Analysis, MS-Excel, Certificate, Letter of recommendation, Informal dress code",N/A
Operations,Bootstart Spaces And Hospitality Private Limited,Pune,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 10,000 /month",18 May' 25,"English Proficiency (Spoken), Certificate, Letter of recommendation, Flexible work hours",N/A
Search Engine Optimization (SEO),Gurukul Yogashala,Rishikesh,Starts immediatelyImmediately,6 Months,"₹ 8,000 - 10,000 /month",18 May' 25,"Digital Marketing, Facebook Ads, Google AdWords, Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing",N/A
Business Development (Sales),BeatRoute Innovations Private Limited,Work from home,Starts immediatelyImmediately,3 Months,"₹ 8,000 /month",18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Hospitality,Hostie Holiday Homes Private Limited,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 10,000 - 12,000 /month",18 May' 25,"Effective Communication, English Proficiency (Spoken), Interpersonal skills, Certificate, Letter of recommendation, 5 days a week",N/A
Data Entry,Deep Life Saver,Hyderabad                                                    (Hybrid),Starts immediatelyImmediately,1 Month,"₹ 18,000 - 22,000 /month",18 May' 25,"MS-Excel, MS-Office, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Business Development (Sales),The Souled Store,Mumbai,Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",28 Apr' 25,"MS-Excel, MS-PowerPoint, Certificate, Informal dress code",N/A
Human Resources (HR),InternGrad SkillUp Solutions Pvt Ltd,Bangalore,Starts immediatelyImmediately,6 Months,"₹ 12,000 - 30,000 /month",18 May' 25,"Business Analysis, Digital Marketing, Facebook Ads, Facebook Marketing, HR Analytics, HR branding, HR Operations, Human Resource Information System (HRIS), Human Resources, Instagram Marketing, Lead Generation, Marketing, Marketing Automation, Marketing Campaigns, Marketing Strategies, Market research, Search Engine Optimization (SEO), Strategy, Video Editing, YouTube Ads, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages, Job offer",N/A
Search Engine Optimization (SEO),Wheelsbingo.com,Noida,Starts immediatelyImmediately,3 Months,"₹ 3,000 - 5,000 /month",18 May' 25,"Digital Marketing, English Proficiency (Written), Google AdWords, Google Analytics, Search Engine Marketing (SEM), Search Engine Optimization (SEO), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Social Media Marketing & Client Engagement,PPY Technologies,Work from home,Starts immediatelyImmediately,3 Months,"₹ 15,000 - 25,000 /month",18 May' 25,"English Proficiency (Spoken), Facebook Marketing, Instagram Ads, Instagram Marketing, LinkedIn Marketing, Social Media Marketing, Flexible work hours",N/A
Dietetics/Nutrition,Janvi  Chitalia,Mumbai,Starts immediatelyImmediately,6 Months,"₹ 10,000 - 13,000 /month",18 May' 25,"Dietetics/Nutrition, English Proficiency (Written), MS-Excel, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Human Resources (HR),RegisterKaro,Gurgaon,Starts immediatelyImmediately,3 Months,"₹ 12,000 - 25,000 /month",18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-Word, Certificate, Letter of recommendation, Informal dress code",N/A
Business Development (Sales),Vishal Saini,Work from home,Starts immediatelyImmediately,2 Months,"₹ 2,000 - 3,000 /month",20 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, 5 days a week",N/A
Business Development (Sales),Inworko Ventures,Ahmedabad                                                    (Hybrid),Starts immediatelyImmediately,2 Months,"₹ 10,000 - 15,000 /month",18 May' 25,"Digital Marketing, Email Marketing, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Social Media Marketing, Certificate, Letter of recommendation, Flexible work hours, Informal dress code",N/A
Interior Design,SRK Modular Furniture Co,Jaipur,Starts immediatelyImmediately,6 Months,"₹ 15,000 - 25,000 /month",18 May' 25,"AutoCAD, Google SketchUp, Rhino, Certificate, Letter of recommendation",N/A
Embedded Systems,OxYmora Technology Private Limited,Jaipur,Starts immediatelyImmediately,3 Months,"₹ 3,000 /month",18 May' 25,"Arduino, C++ Programming, C Programming, Embedded Systems, Internet of Things (IoT), Raspberry Pi, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages",N/A
Human Resources (HR),CloudBird Digital Private Limited,Noida,Starts immediatelyImmediately,3 Months,"₹ 7,000 /month",18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Certificate, Letter of recommendation, Informal dress code",N/A
Human Resources (HR),Adwallz Outdoor Advertising Private Limited,Mumbai                                                    (Hybrid),Starts immediatelyImmediately,3 Months,"₹ 10,000 /month",18 May' 25,"English Proficiency (Spoken), English Proficiency (Written), Google Workspace, MS-Excel, MS-Office, Certificate, Letter of recommendation",N/A
Human Resources (HR),Wayspire Ed-Tech Private Limited,Gurgaon,Starts immediatelyImmediately,6 Months,"₹ 8,000 - 10,000 /month",18 May' 25,"Effective Communication, Recruitment, Certificate, Informal dress code",N/A
Business Development (Sales),Redjinni Industries Private Limited,Work from home,Starts immediatelyImmediately,6 Months,"₹ 12,000 - 18,000 /month",18 May' 25,"Effective Communication, English Proficiency (Spoken), English Proficiency (Written), Certificate",N/A
Business Development (Inside Sales/Field Sales),Heterize Infotech Private Limited,Indore,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 7,000 /month",29 Apr' 25,"English Proficiency (Spoken), Hindi Proficiency (Spoken), Sales, Certificate, Letter of recommendation, Free snacks & beverages, Job offer",N/A
Lead Generation,Heterize Infotech Private Limited,Indore,Starts immediatelyImmediately,4 Months,"₹ 5,000 - 7,000 /month",29 Apr' 25,"English Proficiency (Spoken), Hindi Proficiency (Spoken), MS-Excel, Sales, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
E-Commerce Catalog Management,Heterize Infotech Private Limited,Indore,Starts immediatelyImmediately,3 Months,"₹ 5,000 - 8,000 /month",18 May' 25,"MS-Excel, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Graphic Design,Heterize Infotech Private Limited,Indore,Starts immediatelyImmediately,3 Months,"₹ 7,000 /month",18 May' 25,"Adobe Photoshop, Canva, Certificate, Letter of recommendation, Informal dress code, Free snacks & beverages",N/A
Photography,Enrizon,"Thane, Navi Mumbai, Mumbai                                                    (Hybrid)",Starts immediatelyImmediately,2 Weeks,"₹ 10,000 - 20,000 /month",18 May' 25,"Adobe Photoshop, Photography, Video Editing, Video Making, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages",N/A
Gujarati Language Expert,Solvitude,Work from home,Starts immediatelyImmediately,1 Month,"₹ 7,000 - 25,000 /month",18 May' 25,"Creative Writing, English Proficiency (Spoken), English Proficiency (Written), Gujarati Proficiency (Spoken), Gujarati Proficiency (Written), Proofreading, Time Management, Transcription, TypeScript, Certificate, Letter of recommendation, Flexible work hours",N/A
Business Development (Sales),Grarri Private Limited,Hyderabad,Starts immediatelyImmediately,6 Months,"₹ 20,000 /month",8 Jun' 25,"Cold Calling, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Sales, Sales Strategy, Certificate, Informal dress code, 5 days a week",N/A
Online Abacus Tutor,Narigiri's Connect To Universe Private Limited,Work from home,Starts immediatelyImmediately,6 Months,"₹ 1,000 - 8,000 /month",18 May' 25,"Online Teaching, Certificate, Flexible work hours",N/A
Online Stock Trading Tutor,Narigiri's Connect To Universe Private Limited,Work from home,Starts immediatelyImmediately,6 Months,"₹ 1,000 - 8,000 /month",18 May' 25,"Online Teaching, Certificate, Flexible work hours",N/A
